iter	Passed	Remaining
601	5912	3909
602	5923	3900
603	5934	3890
604	5945	3881
605	5955	3872
606	5966	3862
607	5976	3853
608	5986	3843
609	5996	3834
610	6007	3824
611	6017	3815
612	6028	3806
613	6038	3796
614	6048	3786
615	6059	3777
616	6069	3767
617	6081	3758
618	6091	3749
619	6101	3739
620	6111	3729
621	6122	3721
622	6135	3713
623	6148	3704
624	6160	3696
625	6172	3687
626	6184	3679
627	6197	3670
628	6208	3661
629	6218	3652
630	6228	3642
631	6239	3633
632	6249	3623
633	6260	3614
634	6270	3604
635	6281	3594
636	6292	3585
637	6302	3576
638	6312	3566
639	6323	3556
640	6333	3547
641	6344	3537
642	6354	3527
643	6364	3518
644	6374	3508
645	6384	3498
646	6394	3488
647	6404	3478
648	6413	3468
649	6423	3458
650	6432	3448
651	6441	3438
652	6450	3427
653	6461	3418
654	6472	3409
655	6483	3399
656	6493	3390
657	6504	3380
658	6516	3371
659	6526	3362
660	6537	3352
661	6547	3342
662	6558	3333
663	6567	3323
664	6577	3313
665	6588	3304
666	6599	3294
667	6609	3284
668	6619	3274
669	6630	3265
670	6639	3255
671	6650	3245
672	6660	3236
673	6671	3226
674	6681	3216
675	6691	3207
676	6702	3197
677	6712	3187
678	6723	3178
679	6734	3168
680	6743	3158
681	6753	3149
682	6764	3139
683	6781	3133
684	6791	3123
685	6802	3113
686	6812	3103
687	6823	3094
688	6833	3084
689	6844	3074
690	6855	3065
691	6867	3056
692	6878	3047
693	6887	3036
694	6898	3027
695	6910	3018
696	6921	3008
697	6931	2999
698	6941	2989
699	6952	2979
700	6961	2969
701	6971	2959
702	6979	2948
703	6988	2938
704	6997	2928
705	7007	2918
706	7017	2908
707	7027	2898
708	7037	2888
709	7048	2878
710	7057	2868
711	7067	2858
712	7077	2849
713	7088	2839
714	7099	2829
715	7109	2820
716	7120	2810
717	7131	2800
718	7141	2791
719	7151	2781
720	7160	2770
721	7170	2760
722	7180	2751
723	7191	2741
724	7201	2731
