iter	Passed	Remaining
650	4747	2545
651	4755	2538
652	4762	2530
653	4771	2524
654	4780	2518
655	4788	2511
656	4796	2504
657	4804	2497
658	4812	2490
659	4820	2483
660	4828	2476
661	4836	2469
662	4844	2462
663	4852	2455
664	4858	2447
665	4866	2440
666	4874	2433
667	4882	2426
668	4888	2418
669	4896	2411
670	4903	2404
671	4911	2397
672	4918	2389
673	4926	2382
674	4932	2375
675	4940	2367
676	4948	2360
677	4955	2353
678	4963	2346
679	4971	2339
680	4978	2332
681	4985	2324
682	4992	2317
683	5000	2310
684	5007	2302
685	5015	2295
686	5022	2288
687	5030	2281
688	5037	2273
689	5045	2266
690	5052	2259
691	5061	2252
692	5068	2245
693	5075	2237
694	5082	2230
695	5091	2223
696	5098	2216
697	5106	2209
698	5113	2201
699	5120	2194
700	5128	2187
701	5135	2179
702	5143	2172
703	5150	2165
704	5157	2157
705	5164	2150
706	5171	2143
707	5179	2136
708	5186	2128
709	5195	2122
710	5203	2115
711	5211	2108
712	5219	2101
713	5228	2094
714	5235	2086
715	5242	2079
716	5250	2072
717	5258	2065
718	5266	2058
719	5274	2051
720	5282	2043
721	5291	2037
722	5298	2029
723	5306	2023
724	5313	2015
725	5321	2008
726	5327	2000
727	5334	1993
728	5341	1985
729	5347	1977
730	5353	1970
731	5360	1962
732	5367	1955
733	5374	1947
734	5382	1940
735	5389	1933
736	5397	1925
737	5404	1918
738	5412	1911
739	5420	1904
740	5428	1897
741	5436	1890
742	5443	1882
743	5450	1875
744	5457	1868
745	5464	1860
746	5471	1853
747	5479	1845
748	5486	1838
749	5493	1831
750	5501	1824
751	5508	1816
752	5516	1809
753	5524	1802
754	5531	1794
755	5539	1787
756	5546	1780
757	5553	1773
758	5561	1765
759	5568	1758
760	5575	1750
761	5581	1743
762	5588	1735
763	5595	1728
764	5601	1720
765	5608	1713
766	5615	1705
767	5622	1698
768	5630	1691
769	5638	1684
770	5645	1676
771	5653	1669
772	5663	1663
773	5670	1655
774	5677	1648
775	5684	1640
776	5692	1633
777	5700	1626
778	5707	1619
779	5715	1611
780	5722	1604
781	5730	1597
782	5737	1590
783	5746	1583
784	5755	1576
785	5763	1569
786	5771	1562
787	5780	1555
788	5788	1548
789	5797	1541
790	5804	1533
791	5813	1526
792	5820	1519
793	5828	1512
794	5836	1504
795	5845	1498
796	5852	1490
797	5860	1483
798	5868	1476
799	5876	1469
800	5883	1461
801	5891	1454
802	5898	1447
803	5906	1439
804	5914	1432
805	5923	1425
806	5930	1418
807	5937	1410
808	5945	1403
809	5952	1396
810	5960	1389
811	5967	1381
812	5974	1374
813	5981	1366
814	5989	1359
815	5996	1352
816	6004	1345
817	6011	1337
818	6018	1330
819	6026	1322
820	6033	1315
821	6041	1308
822	6048	1300
823	6056	1293
824	6063	1286
825	6071	1279
826	6078	1271
827	6087	1264
828	6094	1257
829	6102	1249
830	6109	1242
831	6116	1235
832	6123	1227
833	6131	1220
834	6140	1213
835	6147	1206
836	6156	1198
837	6163	1191
838	6171	1184
839	6177	1176
840	6184	1169
841	6191	1161
842	6198	1154
843	6205	1147
844	6213	1139
845	6219	1132
846	6226	1124
847	6234	1117
848	6240	1109
849	6248	1102
850	6255	1095
851	6263	1087
852	6270	1080
853	6277	1073
854	6284	1065
855	6291	1058
856	6298	1050
857	6305	1043
858	6312	1036
859	6319	1028
860	6326	1021
861	6333	1013
862	6340	1006
863	6347	999
864	6354	991
865	6360	984
866	6367	976
867	6373	969
868	6380	961
869	6387	954
870	6394	947
871	6401	939
872	6409	932
873	6416	925
874	6423	917
875	6431	910
876	6438	902
877	6445	895
878	6452	888
879	6459	880
880	6467	873
881	6474	866
882	6481	858
883	6488	851
884	6495	844
885	6502	836
886	6510	829
887	6516	821
888	6523	814
889	6530	807
890	6536	799
891	6543	792
892	6550	784
893	6558	777
894	6565	770
895	6572	762
896	6579	755
897	6590	748
898	6597	741
899	6603	733
900	6609	726
901	6615	718
902	6621	711
903	6627	703
904	6633	696
905	6640	688
906	6646	681
907	6654	674
908	6661	666
909	6668	659
910	6675	652
911	6684	644
912	6691	637
913	6698	630
914	6705	622
915	6713	615
916	6721	608
917	6729	601
918	6736	593
919	6744	586
920	6752	579
921	6759	571
922	6767	564
923	6775	557
924	6782	549
925	6788	542
926	6796	535
927	6803	527
928	6811	520
929	6818	513
930	6824	505
931	6832	498
932	6839	491
933	6846	483
934	6853	476
935	6860	469
936	6867	461
937	6874	454
938	6881	447
939	6888	439
940	6894	432
941	6902	424
942	6909	417
943	6915	410
944	6921	402
945	6928	395
946	6935	388
947	6942	380
948	6948	373
949	6956	366
950	6963	358
951	6970	351
952	6977	344
953	6984	336
954	6991	329
955	6998	322
956	7005	314
957	7012	307
958	7019	300
959	7026	292
960	7034	285
961	7041	278
962	7047	270
963	7054	263
964	7061	256
965	7069	248
966	7076	241
967	7084	234
968	7092	226
969	7100	219
970	7107	212
971	7114	204
972	7121	197
973	7128	190
974	7136	182
975	7144	175
976	7150	168
977	7157	161
978	7164	153
979	7171	146
980	7178	139
981	7185	131
982	7192	124
983	7200	117
984	7207	109
985	7215	102
986	7222	95
987	7228	87
988	7235	80
989	7243	73
990	7249	65
991	7256	58
992	7263	51
993	7271	43
994	7278	36
995	7286	29
996	7294	21
997	7301	14
998	7308	7
999	7315	0
